Q14865364	dopamine:sodium symporter activity	Q22290488	dopamine uptake
Q14878780	transcription factor activity, RNA polymerase II transcription factor recruiting	Q21111543	RNA polymerase II transcriptional preinitiation complex assembly
Q14878802	iron ion transmembrane transporter activity	Q14878803	iron ion transmembrane transport
Q14883151	urokinase plasminogen activator receptor activity	Q21095159	urokinase plasminogen activator signaling pathway
Q14883313	protein kinase regulator activity	Q14865282	regulation of protein kinase activity
Q14884514	copper ion transmembrane transporter activity	Q14913336	copper ion transmembrane transport
Q14885178	interleukin-2 receptor activity	Q14885183	interleukin-2-mediated signaling pathway
Q14885179	interleukin-4 receptor activity	Q14885182	interleukin-4-mediated signaling pathway
Q14885180	interleukin-7 receptor activity	Q14885184	interleukin-7-mediated signaling pathway
Q14885187	cytokine receptor activity	Q14863107	cytokine-mediated signaling pathway
Q14886165	bitter taste receptor activity	Q14886169	detection of chemical stimulus involved in sensory perception of bitter taste
Q14887301	glucose transmembrane transporter activity	Q21972891	glucose transmembrane transport
Q14887309	transmembrane transporter activity	Q14820680	transmembrane transport
Q14887667	phosphatidylinositol 3-kinase activity	Q14887688	phosphatidylinositol phosphorylation
Q14888540	G-protein coupled adenosine receptor activity	Q14888601	adenosine receptor signaling pathway
Q14888936	guanylate cyclase activity	Q14860784	cGMP biosynthetic process
Q14890055	peptidyl-cysteine S-nitrosylase activity	Q21101819	peptidyl-cysteine S-nitrosylation
Q14890095	demethylase activity	Q900386	demethylation
Q14891379	G-protein coupled serotonin receptor activity	Q28137582	G-protein coupled serotonin receptor signaling pathway
Q14897654	Wnt-activated receptor activity	Q155769	Wnt signaling pathway
Q14897679	nerve growth factor receptor activity	Q14897686	nerve growth factor signaling pathway
Q14897697	brain-derived neurotrophic factor-activated receptor activity	Q14897725	brain-derived neurotrophic factor receptor signaling pathway
Q14897861	glycoprotein transporter activity	Q14897863	glycoprotein transport
Q14897862	reelin receptor activity	Q14331017	reelin-mediated signaling pathway
Q14897865	death receptor activity	Q304484	programmed cell death
Q14897873	neurotrophin receptor activity	Q14897876	neurotrophin signaling pathway
Q14900998	opioid receptor activity	Q14897644	opioid receptor signaling pathway
Q14901451	insulin-like growth factor-activated receptor activity	Q14863699	insulin-like growth factor receptor signaling pathway
Q14901487	deoxyribonuclease activity	Q14877613	DNA metabolic process
Q14901958	cysteine-type endopeptidase activator activity involved in apoptotic process	Q14860870	activation of cysteine-type endopeptidase activity involved in apoptotic process
Q14902082	peptidase activator activity involved in apoptotic process	Q14599311	apoptotic process
Q14902234	DNA polymerase processivity factor activity	Q14877613	DNA metabolic process
Q14902447	cyclin-dependent protein kinase activating kinase activity	Q22245275	positive regulation of cyclin-dependent protein kinase activity
Q14902455	protein kinase inhibitor activity	Q14865215	negative regulation of protein kinase activity
Q14902467	maltose alpha-glucosidase activity	Q14902468	maltose metabolic process
Q14902497	water transmembrane transporter activity	Q14820652	water transport
Q14902519	glycerol transmembrane transporter activity	Q14902523	glycerol transport
Q14904758	follicle-stimulating hormone receptor activity	Q14904759	follicle-stimulating hormone signaling pathway
Q14904836	sodium:potassium-exchanging ATPase activity	Q14905378	establishment or maintenance of transmembrane electrochemical gradient
Q14904879	dehydroascorbic acid transporter activity	Q14904885	dehydroascorbic acid transport
Q14904880	xenobiotic transporter activity	Q14865100	drug transmembrane transport
Q14904880	xenobiotic transporter activity	Q14865106	xenobiotic transport
Q14904897	erythropoietin receptor activity	Q14904898	erythropoietin-mediated signaling pathway
Q14904907	glucagon receptor activity	Q14821390	cellular response to glucagon stimulus
Q14904940	thyroid-stimulating hormone receptor activity	Q21120157	thyroid-stimulating hormone signaling pathway
Q14905028	bile acid receptor activity	Q14904924	bile acid signaling pathway
Q14905102	activin-activated receptor activity	Q14903587	activin receptor signaling pathway
Q14905223	potassium ion transmembrane transporter activity	Q14865157	potassium ion transmembrane transport
Q14905224	nitric oxide transmembrane transporter activity	Q14905229	nitric oxide transport
Q14905225	carbon dioxide transmembrane transporter activity	Q14905232	carbon dioxide transmembrane transport
Q14905282	L-glutamate transmembrane transporter activity	Q14905285	L-glutamate transport
Q14905290	L-aspartate transmembrane transporter activity	Q22290550	L-aspartate transport
Q14905336	complement receptor activity	Q14905333	complement receptor mediated signaling pathway
Q14905342	sodium ion transmembrane transporter activity	Q14904837	sodium ion transmembrane transport
Q14905504	angiotensin receptor activity	Q14905506	angiotensin-activated signaling pathway
Q14905572	thromboxane A2 receptor activity	Q21173828	thromboxane A2 signaling pathway
Q14905623	protein transporter activity	Q14860325	protein transport
Q14905671	netrin receptor activity	Q14905676	netrin-activated signaling pathway
Q14905679	eukaryotic translation initiation factor 2alpha kinase activity	Q21105860	regulation of translational initiation by eIF2 alpha phosphorylation
Q14905692	translation initiation factor activity	Q14905693	translational initiation
Q14905714	voltage-gated sodium channel activity involved in cardiac muscle cell action potential	Q14905723	membrane depolarization during cardiac muscle cell action potential
Q21095467	sphingosine-1-phosphate receptor activity	Q21095470	sphingosine-1-phosphate signaling pathway
Q21095643	cyclin-dependent protein serine/threonine kinase inhibitor activity	Q14865553	negative regulation of cyclin-dependent protein serine/threonine kinase activity
Q21095688	urea transmembrane transporter activity	Q21836413	urea transmembrane transport
Q21096384	voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization	Q15330553	atrial cardiac muscle cell action potential
Q21096385	voltage-gated potassium channel activity involved in bundle of His cell action potential repolarization	Q21096392	membrane repolarization during bundle of His cell action potential
Q21096386	voltage-gated potassium channel activity involved in SA node cell action potential repolarization	Q21096393	membrane repolarization during SA node cell action potential
Q21096410	GTPase inhibitor activity	Q15331121	negative regulation of GTPase activity
Q21096411	protein serine/threonine kinase activator activity	Q14862267	positive regulation of protein serine/threonine kinase activity
Q21096459	ceramide transporter activity	Q14881704	ceramide transport
Q21097273	MAP-kinase scaffold activity	Q14758936	positive regulation of MAPK cascade
Q21097302	glyoxalase III activity	Q21758609	lactate biosynthetic process
Q21097302	glyoxalase III activity	Q22282573	methylglyoxal catabolic process to lactate
Q21097303	glyoxalase (glycolic acid-forming) activity	Q21097314	glycolate biosynthetic process
Q21097303	glyoxalase (glycolic acid-forming) activity	Q21097315	glyoxal catabolic process
Q21097318	tyrosine 3-monooxygenase activator activity	Q21097323	positive regulation of tyrosine 3-monooxygenase activity
Q21097319	L-dopa decarboxylase activator activity	Q21097325	positive regulation of L-dopa decarboxylase activity
Q21097436	DNA-binding transcription repressor activity, RNA polymerase II-specific	Q14633878	negative regulation of transcription from RNA polymerase II promoter
Q21097475	histone methyltransferase activity	Q4117777	histone methylation
Q21097492	ATPase activator activity	Q14911937	positive regulation of ATPase activity
Q21097522	histone methyltransferase activity (H3-K27 specific)	Q21097525	histone H3-K27 methylation
Q21097523	protein-lysine N-methyltransferase activity	Q21105358	peptidyl-lysine methylation
Q21097560	ubiquitin activating enzyme activity	Q3547638	protein ubiquitination
Q21100314	lactate transmembrane transporter activity	Q22290448	lactate transmembrane transport
Q21100315	monocarboxylic acid transmembrane transporter activity	Q21100317	monocarboxylic acid transport
Q21100349	neutral amino acid transmembrane transporter activity	Q21100350	neutral amino acid transport
Q21100385	cysteine-type endopeptidase activity involved in apoptotic signaling pathway	Q14866112	apoptotic signaling pathway
Q21100444	cyclin-dependent protein serine/threonine kinase regulator activity	Q21105499	regulation of cyclin-dependent protein serine/threonine kinase activity
Q21100624	translation elongation factor activity	Q21101011	translational elongation
Q21100631	riboflavin transporter activity	Q22292183	riboflavin transport
Q21100815	interleukin-33 receptor activity	Q21427642	interleukin-33-mediated signaling pathway
Q21100923	molybdate ion transmembrane transporter activity	Q22292585	molybdate ion transport
Q21100944	UDP-N-acetylglucosamine transmembrane transporter activity	Q22290367	UDP-N-acetylglucosamine transmembrane transport
Q21100945	UDP-xylose transmembrane transporter activity	Q21100947	UDP-xylose transport
Q21100972	macrophage colony-stimulating factor receptor activity	Q21100974	macrophage colony-stimulating factor signaling pathway
Q21100981	granulocyte colony-stimulating factor receptor activity	Q21100832	granulocyte colony-stimulating factor signaling pathway
Q21101050	rRNA methyltransferase activity	Q21101053	rRNA methylation
Q21101145	cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication	Q21101147	bundle of His cell-Purkinje myocyte adhesion involved in cell communication
Q21101178	axon guidance receptor activity	Q2034716	axon guidance
Q21101188	ephrin receptor activity	Q14905487	ephrin receptor signaling pathway
Q21101334	type I interferon receptor activity	Q14864809	type I interferon signaling pathway
Q21101350	protein-arginine N-methyltransferase activity	Q21101351	peptidyl-arginine N-methylation
Q21101400	IgE receptor activity	Q14874299	Fc-epsilon receptor signaling pathway
Q21101410	IgG receptor activity	Q22243898	Fc-gamma receptor signaling pathway
Q21101423	immunoglobulin receptor activity	Q14908030	Fc receptor signaling pathway
Q21101444	chemorepellent activity	Q14912345	negative chemotaxis
Q21101565	glial cell-derived neurotrophic factor receptor activity	Q21101589	glial cell-derived neurotrophic factor receptor signaling pathway
Q21101858	histone methyltransferase activity (H3-K9 specific)	Q21101859	histone H3-K9 methylation
Q21102061	arsenite transmembrane transporter activity	Q21756852	arsenite transport
Q21102097	histone methyltransferase activity (H3-K4 specific)	Q21102077	histone H3-K4 methylation
Q21102100	histone methyltransferase activity (H3-K36 specific)	Q21097196	histone H3-K36 methylation
Q21102143	voltage-gated calcium channel activity involved in cardiac muscle cell action potential	Q14905723	membrane depolarization during cardiac muscle cell action potential
Q21102144	voltage-gated calcium channel activity involved SA node cell action potential	Q14905724	membrane depolarization during SA node cell action potential
Q21102236	histone methyltransferase activity (H4-K20 specific)	Q21097197	histone H4-K20 methylation
Q21102290	C-C motif chemokine 19 receptor activity	Q21102288	chemokine (C-C motif) ligand 19 signaling pathway
Q21102291	C-C motif chemokine 21 receptor activity	Q21102289	chemokine (C-C motif) ligand 21 signaling pathway
Q21102316	choline kinase activity	Q21102319	CDP-choline pathway
Q21102406	UDP-glucose:glycoprotein glucosyltransferase activity	Q21102407	UDP-glucosylation
Q21102506	platelet-derived growth factor alpha-receptor activity	Q21102507	platelet-derived growth factor receptor-alpha signaling pathway
Q21102522	guanylate kinase activity	Q21110381	GMP metabolic process
Q21102522	guanylate kinase activity	Q21469909	GDP metabolic process
Q21103102	RNA methyltransferase activity	Q21106306	RNA methylation
Q21103205	G-protein coupled bile acid receptor activity	Q21103206	cell surface bile acid receptor signaling pathway
Q21103324	histone kinase activity (H3-T3 specific)	Q22284011	histone H3-T3 phosphorylation
Q21103418	phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity	Q14872803	phosphatidylinositol-3-phosphate biosynthetic process
Q21103435	nucleoside diphosphate kinase activity	Q21103436	nucleoside diphosphate phosphorylation
Q21104644	JUN kinase kinase activity	Q14762263	activation of JUN kinase activity
Q21104715	toxin transporter activity	Q21100636	toxin transport
Q21104716	organic cation transmembrane transporter activity	Q21966672	organic cation transport
Q21104756	phosphatidylinositol 3-kinase regulator activity	Q21097176	regulation of phosphatidylinositol 3-kinase activity
Q21104916	protein tyrosine kinase inhibitor activity	Q21103077	negative regulation of protein tyrosine kinase activity
Q21104917	signaling adaptor activity	Q14860471	positive regulation of signal transduction
Q21104943	telomerase inhibitor activity	Q14913034	negative regulation of telomerase activity
Q21105025	cAMP-dependent protein kinase inhibitor activity	Q21105024	negative regulation of cAMP-dependent protein kinase activity
Q21105030	bile acid transmembrane transporter activity	Q14865026	bile acid and bile salt transport
Q21105041	prostaglandin D2 11-ketoreductase activity	Q14881697	prostaglandin metabolic process
Q21105116	phospholipid scramblase activity	Q21105168	phospholipid scrambling
Q21105582	microtubule-severing ATPase activity	Q21105583	microtubule severing
Q21105740	mannosyltransferase activity	Q21108198	mannosylation
Q21105832	proteasome-activating ATPase activity	Q14914045	positive regulation of proteasomal protein catabolic process
Q21105910	protein serine/threonine kinase inhibitor activity	Q14873995	negative regulation of protein serine/threonine kinase activity
Q21106021	long-chain fatty acid transporter activity	Q14864581	long-chain fatty acid transport
Q21106021	long-chain fatty acid transporter activity	Q14912799	peroxisomal long-chain fatty acid import
Q21106268	hexose transmembrane transporter activity	Q14863067	hexose transport
Q21106272	6-phosphofructokinase activity	Q21436480	glycolytic process through fructose-6-phosphate
Q21106276	fructose transmembrane transporter activity	Q21106267	fructose transport
Q21106311	translation repressor activity	Q14633894	negative regulation of translation
Q21106437	purine nucleobase transmembrane transporter activity	Q22290424	purine nucleobase transmembrane transport
Q21106438	pyrimidine nucleobase transmembrane transporter activity	Q21106442	pyrimidine nucleobase transport
Q21106438	pyrimidine nucleobase transmembrane transporter activity	Q21106444	pyrimidine-containing compound transmembrane transport
Q21106440	polyol transmembrane transporter activity	Q21106445	polyol transport
Q21106443	carboxylic acid transmembrane transporter activity	Q24467030	carboxylic acid transmembrane transport
Q21106473	nitrate transmembrane transporter activity	Q22291980	nitrate transport
Q21106577	translation factor activity, RNA binding	Q211935	protein biosynthesis
Q21106646	L-ascorbic acid transporter activity	Q22290665	L-ascorbic acid transport
Q21106647	nucleobase transmembrane transporter activity	Q21106648	nucleobase transport
Q21106697	ATPase-coupled peptide transmembrane transporter activity	Q21199321	peptide transport
Q21106735	thrombin-activated receptor activity	Q14821018	thrombin-activated receptor signaling pathway
Q21106763	diacylglycerol cholinephosphotransferase activity	Q21102319	CDP-choline pathway
Q21106982	metal ion transmembrane transporter activity	Q14884612	metal ion transport
Q21107044	gap junction channel activity involved in cell communication by electrical coupling	Q15330531	cell communication by electrical coupling
Q14905732	voltage-gated sodium channel activity involved in SA node cell action potential	Q14905724	membrane depolarization during SA node cell action potential
Q14905750	voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization	Q14905757	membrane repolarization during cardiac muscle cell action potential
Q14905765	voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization	Q22292778	membrane repolarization during ventricular cardiac muscle cell action potential
Q14906650	JUN kinase activity	Q14906672	JUN phosphorylation
Q14906671	MAP kinase activity	Q14758900	MAPK cascade
Q14907000	ubiquitin-protein transferase inhibitor activity	Q14904367	negative regulation of protein ubiquitination
Q14907297	translation regulator activity	Q14863717	regulation of translation
Q14907423	lipopolysaccharide receptor activity	Q14885627	lipopolysaccharide-mediated signaling pathway
Q14907459	iodide transmembrane transporter activity	Q14860775	iodide transport
Q14907585	ciliary neurotrophic factor receptor activity	Q14906190	ciliary neurotrophic factor-mediated signaling pathway
Q14907586	interleukin-6 receptor activity	Q14865234	interleukin-6-mediated signaling pathway
Q14907587	interleukin-11 receptor activity	Q21418786	interleukin-11-mediated signaling pathway
Q14907588	leukemia inhibitory factor receptor activity	Q14878787	leukemia inhibitory factor signaling pathway
Q14907589	oncostatin-M receptor activity	Q14907594	oncostatin-M-mediated signaling pathway
Q14907592	interleukin-27 receptor activity	Q14907596	interleukin-27-mediated signaling pathway
Q14907803	cAMP-dependent protein kinase regulator activity	Q21125177	regulation of cAMP-dependent protein kinase activity
Q14907861	receptor ligand activity	Q828130	signal transduction
Q14907970	peptidyl-prolyl cis-trans isomerase activity	Q14907973	protein peptidyl-prolyl isomerization
Q14907984	zinc ion transmembrane transporter activity	Q14907989	zinc II ion transmembrane transport
Q14907992	cation transmembrane transporter activity	Q21750224	cation transmembrane transport
Q14907995	DNA (cytosine-5-)-methyltransferase activity	Q14908004	C-5 methylation of cytosine
Q14907996	DNA-methyltransferase activity	Q874745	DNA methylation
Q14908023	stem cell factor receptor activity	Q14908031	Kit signaling pathway
Q14908036	MAP kinase kinase activity	Q14758900	MAPK cascade
Q14908036	MAP kinase kinase activity	Q14762259	activation of MAPK activity
Q14908102	GTPase activator activity	Q14906083	positive regulation of GTPase activity
Q14908256	transcription cofactor activity	Q21096354	regulation of nucleic acid-templated transcription
Q14910472	enzyme regulator activity	Q14818125	regulation of catalytic activity
Q14911525	translation termination factor activity	Q14911528	translational termination
Q14911591	retinol transporter activity	Q14911592	retinol transport
Q14911618	fibroblast growth factor-activated receptor activity	Q14864684	fibroblast growth factor receptor signaling pathway
Q14911726	histone kinase activity	Q14872810	histone phosphorylation
Q14911862	manganese ion transmembrane transporter activity	Q14877184	manganese ion transmembrane transport
Q14911921	morphine receptor activity	Q21111901	cellular response to morphine
Q14911954	gastric inhibitory peptide receptor activity	Q22243813	gastric inhibitory peptide signaling pathway
Q14911967	cysteine-type endopeptidase activity involved in apoptotic process	Q14599311	apoptotic process
Q14912224	complement component C5a receptor activity	Q14912227	complement component C5a signaling pathway
Q14912386	vascular endothelial growth factor-activated receptor activity	Q14912397	vascular endothelial growth factor signaling pathway
Q14912484	oxidative RNA demethylase activity	Q22280947	oxidative RNA demethylation
Q14912485	oxidative DNA demethylase activity	Q21102626	oxidative DNA demethylation
Q14912629	histone kinase activity (H3-T6 specific)	Q14912638	histone H3-T6 phosphorylation
Q14912743	carnitine transmembrane transporter activity	Q22290330	carnitine transmembrane transport
Q14912745	quaternary ammonium group transmembrane transporter activity	Q14912754	quaternary ammonium group transport
Q14912748	antibiotic transporter activity	Q14912767	antibiotic transport
Q14912762	ion transmembrane transporter activity	Q14865154	ion transmembrane transport
Q14913028	histone-lysine N-methyltransferase activity	Q14913032	histone lysine methylation
Q14913096	cysteine synthase activity	Q14913098	cysteine biosynthetic process
Q14913109	long-chain fatty acid-CoA ligase activity	Q14864576	long-chain fatty acid metabolic process
Q14913251	histone deacetylase inhibitor activity	Q14865625	negative regulation of histone deacetylation
Q14914114	hydrogen ion transmembrane transporter activity	Q21761006	hydrogen ion transmembrane transport
Q14914115	cadmium ion transmembrane transporter activity	Q14914131	cadmium ion transmembrane transport
Q14914116	cobalt ion transmembrane transporter activity	Q14859651	cobalt ion transport
Q14914118	lead ion transmembrane transporter activity	Q14914129	lead ion transport
Q14914119	nickel cation transmembrane transporter activity	Q14914130	nickel cation transmembrane transport
Q14914120	vanadium ion transmembrane transporter activity	Q14914127	vanadium ion transport
Q14914151	interleukin-1 receptor antagonist activity	Q14905993	negative regulation of cytokine-mediated signaling pathway
Q14914172	nucleoside kinase activity	Q14819381	nucleotide biosynthetic process
Q14914249	amino acid transmembrane transporter activity	Q14905294	amino acid transmembrane transport
Q14914250	basic amino acid transmembrane transporter activity	Q22290614	basic amino acid transmembrane transport
Q14914251	L-cystine transmembrane transporter activity	Q14914254	L-cystine transport
Q14914275	sterol transporter activity	Q22290450	sterol transport
Q14914286	folic acid transporter activity	Q14914290	folic acid transport
Q14914288	thiamine transmembrane transporter activity	Q22292163	thiamine transmembrane transport
Q14914374	cysteine-type endopeptidase activity involved in execution phase of apoptosis	Q14907291	execution phase of apoptosis
Q14914399	transmembrane receptor protein tyrosine kinase adaptor activity	Q14863362	transmembrane receptor protein tyrosine kinase signaling pathway
Q14914408	histone deacetylase activity	Q14914417	histone deacetylation
Q14914410	protein deacetylase activity	Q14914414	protein deacetylation
Q14914422	histone deacetylase activity (H3-K14 specific)	Q14914418	histone H3 deacetylation
Q14914423	histone deacetylase activity (H3-K9 specific)	Q21120881	histone H3-K9 modification
Q14914423	histone deacetylase activity (H3-K9 specific)	Q21120882	histone H3-K9 deacetylation
Q14914424	histone deacetylase activity (H4-K16 specific)	Q14914419	histone H4 deacetylation
Q14914506	histone kinase activity (H3-Y41 specific)	Q14914509	histone H3-Y41 phosphorylation
Q14914554	taste receptor activity	Q21126651	detection of chemical stimulus involved in sensory perception of taste
Q14916081	chemokine receptor antagonist activity	Q14916088	negative regulation of chemokine-mediated signaling pathway
Q14916158	protein phosphatase inhibitor activity	Q21112061	negative regulation of phosphoprotein phosphatase activity
Q14916230	amine transmembrane transporter activity	Q21106441	amine transport
Q14916257	cytidine deaminase activity	Q14916259	cytidine deamination
Q14916332	G-protein coupled purinergic nucleotide receptor activity	Q14916334	G-protein coupled purinergic nucleotide receptor signaling pathway
Q14916351	epinephrine binding	Q1640582	fight-or-flight response
Q14916361	adrenergic receptor activity	Q14916364	adrenergic receptor signaling pathway
Q15311520	IkappaB kinase activity	Q14866208	I-kappaB phosphorylation
Q15314366	SNAP receptor activity	Q6556360	Lipid bilayer fusion
Q15315113	telomerase RNA reverse transcriptase activity	Q15315110	telomerase activity
Q15315148	RNA-directed DNA polymerase activity	Q15315154	RNA-dependent DNA biosynthetic process
Q15315862	canalicular bile acid transmembrane transporter activity	Q15315870	canalicular bile acid transport
Q15316297	tachykinin receptor activity	Q14907963	tachykinin receptor signaling pathway
Q15316529	gonadotropin-releasing hormone receptor activity	Q15316532	cellular response to gonadotropin-releasing hormone
Q15316720	structural constituent of nuclear pore	Q15316725	nucleocytoplasmic transport
Q15318367	bombesin receptor activity	Q15318372	bombesin receptor signaling pathway
Q15320196	ionotropic glutamate receptor activity	Q14865861	ionotropic glutamate receptor signaling pathway
Q15322323	leukotriene receptor activity	Q21469282	leukotriene signaling pathway
Q15328099	superoxide dismutase activity	Q14864834	removal of superoxide radicals
Q15332399	MAP kinase kinase kinase kinase activity	Q14758900	MAPK cascade
Q15332399	MAP kinase kinase kinase kinase activity	Q15332402	activation of MAPKKK activity
Q15332810	angiotensin type I receptor activity	Q15332822	phospholipase C-activating angiotensin-activated signaling pathway
Q15333157	SUMO transferase activity	Q15323764	protein sumoylation
Q15333395	G-protein coupled acetylcholine receptor activity	Q14897885	G-protein coupled acetylcholine receptor signaling pathway
Q15334997	RNA polymerase II activity	Q14864650	transcription from RNA polymerase II promoter
Q15335000	DNA-directed 5'-3' RNA polymerase activity	Q21170412	RNA biosynthetic process
Q15335003	RNA-directed 5'-3' RNA polymerase activity	Q21170415	transcription, RNA-templated
Q21108581	protein adenylyltransferase activity	Q21108580	protein adenylylation
Q21108619	platelet-derived growth factor-activated receptor activity	Q14863045	platelet-derived growth factor receptor signaling pathway
Q21108619	platelet-derived growth factor-activated receptor activity	Q21096414	cellular response to platelet-derived growth factor stimulus
Q21108620	platelet-derived growth factor beta-receptor activity	Q21108612	platelet-derived growth factor receptor-beta signaling pathway
Q21108642	phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity	Q14872803	phosphatidylinositol-3-phosphate biosynthetic process
Q21108685	second spliceosomal transesterification activity	Q21105016	RNA splicing, via transesterification reactions
Q21108703	adenylate cyclase inhibiting G-protein coupled glutamate receptor activity	Q21108702	adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway
Q21108766	host cell surface receptor binding	Q22299536	adhesion of symbiont to host cell
Q21108807	MHC class Ib protein binding, via antigen binding groove	Q22312776	MHC class Ib protein complex binding
Q21108814	organic anion transmembrane transporter activity	Q22290254	organic anion transport
Q21108842	purinergic nucleotide receptor activity	Q21105164	purinergic nucleotide receptor signaling pathway
Q21108928	acyl carnitine transmembrane transporter activity	Q22290334	acyl carnitine transmembrane transport
Q21108947	thyroid hormone transmembrane transporter activity	Q21108946	thyroid hormone transport
Q21109031	calcium:sodium antiporter activity involved in regulation of cardiac muscle cell membrane potential	Q14873905	regulation of cardiac muscle cell membrane potential
Q21109072	urate transmembrane transporter activity	Q21109074	urate transport
Q21109073	sodium-dependent phosphate transmembrane transporter activity	Q21109075	sodium-dependent phosphate transport
Q21109102	olfactory receptor activity	Q21109103	detection of chemical stimulus involved in sensory perception of smell
Q21109166	histone kinase activity (H3-T11 specific)	Q21109167	histone H3-T11 phosphorylation
Q21109269	deubiquitinase activator activity	Q22245170	positive regulation of ubiquitin-specific protease activity
Q21109314	peroxidase inhibitor activity	Q21109312	negative regulation of peroxidase activity
Q21109446	phosphate ion transmembrane transporter activity	Q21105401	phosphate ion transmembrane transport
Q21109447	inorganic diphosphate transmembrane transporter activity	Q21109448	inorganic diphosphate transport
Q21109629	histone demethylase activity (H3-R2 specific)	Q21109631	histone H3-R2 demethylation
Q21109630	histone demethylase activity (H4-R3 specific)	Q21109632	histone H4-R3 demethylation
Q21130810	nucleoside phosphate kinase activity	Q21173770	nucleoside monophosphate phosphorylation
Q21130992	protein-arginine omega-N symmetric methyltransferase activity	Q21130990	peptidyl-arginine methylation, to symmetrical-dimethyl arginine
Q21131672	protein-arginine omega-N monomethyltransferase activity	Q21131693	peptidyl-arginine omega-N-methylation
Q21131673	histone methyltransferase activity (H4-R3 specific)	Q21111424	histone H4-R3 methylation
Q21131674	histone methyltransferase activity (H3-R2 specific)	Q21112939	histone H3-R2 methylation
Q21132000	endothelin receptor activity	Q21132001	endothelin receptor signaling pathway
Q21132055	cysteine-type endopeptidase regulator activity involved in apoptotic process	Q14873926	regulation of cysteine-type endopeptidase activity involved in apoptotic process
Q21132076	protein C-terminal carboxyl O-methyltransferase activity	Q21132077	C-terminal protein methylation
Q21132093	coreceptor activity involved in Wnt signaling pathway	Q155769	Wnt signaling pathway
Q21132747	retinol O-fatty-acyltransferase activity	Q14864352	retinol metabolic process
Q21132767	endoribonuclease inhibitor activity	Q21132768	negative regulation of endoribonuclease activity
Q21133142	JUN kinase kinase kinase activity	Q21106757	activation of JNKK activity
