Q61387	nortriptyline	Q47521959	Pamelor
Q176301	oxcarbazepine	Q47521955	Oxtellar
Q176301	oxcarbazepine	Q47522233	Trileptal
Q176533	alfentanil	Q47520997	Alfenta
Q177094	imatinib	Q29005907	Glivec
Q177094	imatinib	Q29005961	Imatinib Accord
Q177094	imatinib	Q29005963	Imatinib Actavis
Q177094	imatinib	Q29005965	Imatinib Medac
Q177094	imatinib	Q29005966	Imatinib Teva
Q179748	isosorbide dinitrate	Q47521486	Dilatrate
Q179748	isosorbide dinitrate	Q47521726	Sorbitrate
Q179748	isosorbide dinitrate	Q48826195	Isordil
Q180912	melatonin	Q29005609	Circadin
Q180983	cytarabine	Q29005710	Depocyte
Q181619	L-Glutamine	Q47521548	Endari
Q181619	L-Glutamine	Q48826353	NutreStore
Q183011	arginine vasopressin	Q48826094	Vasostrict
Q183011	arginine vasopressin	Q48828950	Pitressin
Q183554	fosfomycin	Q47521847	Monurol
Q184630	potassium chloride	Q47521745	Klor-Con
Q184630	potassium chloride	Q47522005	Micro-K
Q184630	potassium chloride	Q48826098	K-Tab
Q185331	rocuronium	Q47522099	Zemuron
Q185690	corticotropin	Q47521674	Acthar
Q186127	dactinomycin	Q47521412	Cosmegen
Q186242	norepinephrine	Q47521764	Levophed
Q186969	ibuprofen	Q16240691	Advil
Q186969	ibuprofen	Q29006320	Pedea
Q186969	ibuprofen	Q47521307	Caldolor
Q186969	ibuprofen	Q47521702	Ibu
Q186969	ibuprofen	Q47521883	Neoprofen
Q186969	ibuprofen	Q48826245	Samson 8
Q189522	quinine	Q47522052	Qualaquin
Q190012	adenosine	Q47520881	Adenocard
Q190012	adenosine	Q47520882	Adenoscan
Q190067	tetrahydrocannabinol	Q47521803	Marinol
Q190067	tetrahydrocannabinol	Q47522176	Syndros
Q190875	cortisol	Q29006346	Plenadren
Q190875	cortisol	Q47521406	Cortef
Q190875	cortisol	Q47521407	Cortenema
Q190875	cortisol	Q47521408	Cortifoam
Q190875	cortisol	Q47521684	Proctozone HC
Q190875	cortisol	Q47521778	Locoid
Q190875	cortisol	Q47521834	MiCort-HC
Q190875	cortisol	Q47521961	Pandel
Q190875	cortisol	Q47522031	Proctocream
Q190875	cortisol	Q47522139	Solu-Cortef
Q190875	cortisol	Q47522197	Texacort
Q190875	cortisol	Q47522246	U-Cort
Q190875	cortisol	Q47522314	Westcort
Q190875	cortisol	Q48826054	Recort Plus
Q190875	cortisol	Q48826059	Kera-HC
Q190875	cortisol	Q48826116	Cortaid
Q190875	cortisol	Q48826207	Hydroskin
Q190875	cortisol	Q48826227	Proctocort
Q190875	cortisol	Q48826260	Coraz
Q190875	cortisol	Q48826324	Caldecort
Q190875	cortisol	Q48826366	Anusol HC
Q190875	cortisol	Q48826426	Colocort
Q190875	cortisol	Q48826446	Nucort
Q190875	cortisol	Q48826498	Aveeno Hydrocortisone Anti-Itch
Q190875	cortisol	Q48828039	Carmol HC
Q190875	cortisol	Q48828052	Preparation H Hydrocortisone
Q190875	cortisol	Q48828066	Cortizone
Q190875	cortisol	Q48828115	Procto-Kit
Q190875	cortisol	Q48828213	Ala-Scalp
Q190875	cortisol	Q48828271	Dermacort
Q190875	cortisol	Q48828316	Maximum-H
Q190875	cortisol	Q48828801	A-Hydrocort
Q190875	cortisol	Q48828841	Dermasorb HC
Q190875	cortisol	Q48828858	Dermarest Dricort
Q190875	cortisol	Q48828881	Psoriasin Itch
Q190875	cortisol	Q48828916	Proctosol
Q190875	cortisol	Q48828940	Ala-Cort
Q190875	cortisol	Q48828964	Blue-Emu Anti-Itch
Q190875	cortisol	Q48829025	Procto-Pak
Q190875	cortisol	Q48829075	Pediaderm HC
Q190875	cortisol	Q48829106	Procto-Med
Q190875	cortisol	Q48829163	Gynecort
Q190875	cortisol	Q48829214	Neosporin Eczema
Q190875	cortisol	Q48829326	Scalacort
Q190875	cortisol	Q48829349	Dermtex HC
Q191521	sildenafil	Q29006316	Patrex
Q191521	sildenafil	Q29006431	Revatio
Q191521	sildenafil	Q29006481	Sildenafil Actavis
Q191521	sildenafil	Q29006482	Sildenafil Ratiopharm
Q191521	sildenafil	Q29006483	Sildenafil Teva
Q191521	sildenafil	Q29006643	Viagra
Q191521	sildenafil	Q29006665	Vizarsin
Q192464	levoleucovorin	Q47521641	Fusilev
Q193045	tetracycline	Q47520873	Achromycin V
Q193978	cinacalcet	Q29006314	Parareg
Q193978	cinacalcet	Q47522122	Sensipar
Q194974	letrozole	Q47521599	Femara
Q198473	Ziconotide	Q29006368	Prialt
Q422970	promethazine	Q47521986	Phenergan
Q422970	promethazine	Q48828198	Phenadoz
Q422970	promethazine	Q48829178	Promethegan
Q423005	malathion	Q47521950	OVIDE
Q423071	midazolam	Q29004929	Buccolam
Q423075	cetirizine	Q47521342	Zyrtec
Q423075	cetirizine	Q48826103	Aller-Tec
Q423075	cetirizine	Q48826343	Wal-Zyr
Q423075	cetirizine	Q48828157	Pediacare Children's 24-Hr Allergy
Q423075	cetirizine	Q48828249	Alleroff
Q423075	cetirizine	Q48828645	Wal Zyr 24 Hour Allergy
Q423111	vemurafenib	Q29006728	Zelboraf
Q423288	desipramine	Q47521462	Norpramin
Q423292	paliperidone	Q29006015	Invega
Q423327	enfuvirtide	Q29005888	Fuzeon
Q423366	nelfinavir	Q29006653	Viracept
Q423380	oxymorphone	Q47521936	Opana
Q423384	valganciclovir	Q47522263	Valcyte
Q423404	tipranavir	Q29004835	Aptivus
Q423417	imiquimod	Q29004400	Aldara
Q423417	imiquimod	Q29006717	Zartra
Q423417	imiquimod	Q29006762	Zyclara
Q423423	sulfanilamide	Q47521218	AVC brand of sulfanilamide
Q423428	lincomycin	Q47521770	Lincocin
Q423428	lincomycin	Q48826375	Lincobac
Q423428	lincomycin	Q48828997	Lincomed
Q423445	cidofovir	Q29006658	Vistide
Q423467	atazanavir	Q29006436	Reyataz
Q423538	tizanidine	Q47522210	Zanaflex
Q423757	escitalopram	Q47521568	Lexapro
Q423762	paclitaxel	Q29003737	Abraxane
Q423762	paclitaxel	Q29006318	Paxene
Q423804	Eplerenone	Q47521716	Inspra
Q423814	meso-2,3-dimercaptosuccinic acid	Q47521346	Chemet
Q423930	hydrochlorothiazide	Q47521835	Microzide
Q423984	stavudine	Q29006734	Zerit
Q424027	vancomycin	Q47522267	Vancocin
Q424049	loratadine	Q47521785	Loradamed
Q424049	loratadine	Q48826081	Alavert
Q424049	loratadine	Q48826320	Qlearquil Allergy Relief
Q424049	loratadine	Q48828062	Claritin
Q424049	loratadine	Q48828285	Clear-Atadine
Q424049	loratadine	Q48828308	Tavist Non-Sedating
Q424049	loratadine	Q48828818	Wal-itin
Q424049	loratadine	Q48828990	Cleartime Indoor & Outdoor Allergies
Q424057	Sipuleucel-T	Q29006380	Provenge
Q424145	praziquantel	Q47521268	Biltricide
Q424156	tadalafil	Q29004383	Adcirca
Q424156	tadalafil	Q29004975	Cialis
Q424156	tadalafil	Q29006523	Tadalafil Generics
Q424156	tadalafil	Q29006524	Tadalafil Mylan
Q424161	vardenafil	Q29006131	Levitra
Q424161	vardenafil	Q29006663	Vivanza
Q424161	vardenafil	Q47522150	Staxyn
Q424163	orlistat	Q28791955	Alli
Q424163	orlistat	Q29006686	Xenical
Q424167	finasteride	Q47522038	Propecia
Q424167	finasteride	Q47522040	Proscar
Q424193	levofloxacin	Q29006387	Quinsair
Q424312	tolterodine	Q47521467	Detrol
Q424316	tiotropium	Q47522147	Spiriva
Q424319	bacitracin a	Q47521233	Baci-IM
Q424333	salmeterol	Q47522123	Serevent
Q424378	succinylcholine	Q47522054	Quelicin
Q424378	succinylcholine	Q48825993	Anectine
Q424477	methylergonovine	Q47521822	Methergine
Q424760	dutasteride	Q47521222	Avodart
Q424771	rosiglitazone	Q29004869	Avandia
Q424771	rosiglitazone	Q29006245	Nyracta
Q424771	rosiglitazone	Q29006641	Venvia
Q424940	moxifloxacin	Q47521220	Avelox
Q424940	moxifloxacin	Q47521852	Moxeza
Q424940	moxifloxacin	Q48828163	Vigamox
Q424952	nadolol	Q47521404	Corgard
Q424972	prednisone	Q47521444	Deltasone
Q424972	prednisone	Q47522066	Rayos
Q425027	Glimepiride	Q47521024	Amaryl
Q425088	temozolomide	Q29006547	Temodal
Q425088	temozolomide	Q29006548	Temomedac
Q425088	temozolomide	Q29006549	Temozolomide Accord
Q425088	temozolomide	Q29006551	Temozolomide Hexal
Q425088	temozolomide	Q29006552	Temozolomide Sandoz
Q425088	temozolomide	Q29006553	Temozolomide Sun
Q425088	temozolomide	Q29006554	Temozolomide Teva
Q425088	temozolomide	Q47522188	Temodar
Q425120	disopyramide	Q47521911	Norpace
Q425122	epirubicin	Q47521540	Ellence
Q425137	fingolimod	Q29005901	Gilenya
Q425154	tocilizumab	Q29006460	Roactemra
Q425223	raloxifene	Q29005830	Evista
Q425289	chlorthalidone	Q47522198	Thalitone
Q198504	zidovudine	Q47522084	Retrovir
Q198728	ponatinib	Q29005952	Iclusig
Q199678	vitamin C	Q48826002	Ascor L 500
Q201872	olanzapine	Q29006251	Olansek
Q201872	olanzapine	Q29006252	Olanzapine Apotex
Q201872	olanzapine	Q29006254	Olanzapine Cipla
Q201872	olanzapine	Q29006255	Olanzapine Glenmark
Q201872	olanzapine	Q29006257	Olanzapine Glenmark Europe
Q201872	olanzapine	Q29006258	Olanzapine Mylan
Q201872	olanzapine	Q29006259	Olanzapine Teva
Q201872	olanzapine	Q29006261	Olazax
Q201872	olanzapine	Q29006262	Olazax Disperzi
Q201872	olanzapine	Q29006712	Zalasta
Q201872	olanzapine	Q29006767	Zyprexa
Q201872	olanzapine	Q29006768	Zyprexa Velotab
Q201928	amoxicillin	Q47521041	Amoxil
Q201928	amoxicillin	Q47521851	Moxatag
Q202998	zileuton	Q47522365	Zyflo
Q203174	thalidomide	Q29006563	Thalidomide Celgene
Q203174	thalidomide	Q47522199	Thalomid
Q205517	ziprasidone	Q47522349	Geodon
Q207843	nitric oxide (radical)	Q29005992	Inomax
Q207920	4-hydroxybutanoic acid	Q29006703	Xyrem
Q208360	lutropin alfa	Q29006149	Luveris
Q210402	diazepam	Q47521476	Diastat
Q210402	diazepam	Q47522264	Valium
Q211509	oseltamivir	Q29005754	Ebilfumin
Q211509	oseltamivir	Q29006530	Tamiflu
Q212171	rizatriptan	Q47521808	Maxalt
Q212272	hydroxyurea	Q29006479	Siklos
Q212272	hydroxyurea	Q47521506	Droxia
Q212272	hydroxyurea	Q47521690	Hydrea
Q213511	erythromycin	Q47521563	EryPed
Q213511	erythromycin	Q47521564	Ery-Tab
Q213511	erythromycin	Q47521565	Erygel
Q213511	erythromycin	Q47521566	Erythrocin
Q213511	erythromycin	Q47521567	Erythrocin Stearate
Q213511	erythromycin	Q48826381	PCE
Q213511	erythromycin	Q48826422	Ery
Q213511	erythromycin	Q48826464	Emcin Clear
Q213511	erythromycin	Q48828846	Emgel
Q213511	erythromycin	Q48829307	E.E.S.
Q216935	lidocaine	Q47520991	Akten
Q216935	lidocaine	Q47521768	Lidoderm
Q216935	lidocaine	Q47522331	Xylocaine
Q216935	lidocaine	Q47522348	Zingo
Q216935	lidocaine	Q48826151	Anestacon
Q216935	lidocaine	Q48826413	Regenecare
Q216935	lidocaine	Q48828945	Glydo
Q218820	zolmitriptan	Q47522356	Zomig
Q218842	zolpidem	Q47521025	Ambien
Q218842	zolpidem	Q47521717	Intermezzo
Q218842	zolpidem	Q47522357	Zolpimist
Q219626	ephedrine	Q47520990	AKOVAZ
Q219626	ephedrine	Q48826523	Corphedra
Q219957	zonisamide	Q29006753	Zonegran
Q219957	zonisamide	Q29006754	Zonisamide Mylan
Q221174	topiramate	Q47522053	Qudexy
Q221174	topiramate	Q47522216	Topamax
Q221174	topiramate	Q47522236	Trokendi
Q221174	topiramate	Q48829128	Topiragen
Q221361	clozapine	Q47521384	Clozaril
Q221361	clozapine	Q47521595	Fazaclo
Q221361	clozapine	Q47522291	Versacloz
Q221520	triamterene	Q47521524	Dyrenium
Q229924	aminosalicylic acid	Q29005916	Granupas
Q229924	aminosalicylic acid	Q47521967	Paser D/R
Q238474	aminolevulinic acid	Q29004417	Ameluz
Q238490	5-fluorocytosine	Q47521050	Ancobon
Q238512	fluorouracil	Q47520888	Adrucil
Q238512	fluorouracil	Q47521313	Carac
Q238512	fluorouracil	Q47521621	Fluoroplex
Q238512	fluorouracil	Q47522215	Tolak
Q238512	fluorouracil	Q48826160	Efudex
Q241006	desmopressin	Q47521441	DDAVP
Q241006	desmopressin	Q47521904	Noctiva
Q241006	desmopressin	Q47522152	Stimate
Q241516	Povidone-iodine	Q47521254	Betadine
Q244408	diclofenac	Q47521309	Cambia
Q244408	diclofenac	Q47521479	Voltaren
Q244408	diclofenac	Q47521480	Pennsaid
Q244408	diclofenac	Q47521521	Dyloject
Q244408	diclofenac	Q47521615	Flector
Q244408	diclofenac	Q47522134	Solaraze
Q244408	diclofenac	Q47522359	Zorvolex
Q244408	diclofenac	Q48828078	Zipsor
Q248466	natamycin	Q48821470	Natacyn
Q248550	leflunomide	Q29004839	Arava
Q248550	leflunomide	Q29006115	Leflunomide Medac
Q248550	leflunomide	Q29006116	Leflunomide Ratiopharm
Q248550	leflunomide	Q29006117	Leflunomide Teva
Q248550	leflunomide	Q29006118	Leflunomide Winthrop
Q248550	leflunomide	Q29006426	Repso
Q251005	Nystatin	Q47521923	Nystop
Q251005	Nystatin	Q48826204	Pediaderm AF
Q251005	Nystatin	Q48828266	Nyamyc
Q251347	haloperidol	Q47521676	Haldol
Q252251	cyanocobalamin	Q47521870	Nascobal
Q254296	lansoprazole	Q47522018	Prevacid
Q255968	aminocaproic acid	Q47521029	Amicar
Q425296	prazosin	Q47521838	Minipress
Q425362	hexachlorophene	Q47521988	Phisohex
Q425490	indinavir	Q29005677	Crixivan
Q425654	indacaterol	Q47521184	Arcapta
Q425681	lenalidomide	Q29006434	Revlimid
Q425729	ivabradine	Q47521405	Corlanor
Q425745	bendamustine	Q47521246	Bendeka
Q425745	bendamustine	Q47522221	Treanda
Q425911	miglustat	Q29006720	Zavesca
Q425991	halcinonide	Q47521677	HALOG
Q426132	tolvaptan	Q29006062	Jinarc
Q426132	tolvaptan	Q29006464	Samsca
Q426386	ingenol mebutate	Q29006336	Picato
Q481822	acetohydroxamic acid	Q47521776	Lithostat
Q519447	tafamidis	Q29006674	Vyndaqel
Q521173	aclidinium	Q47522239	Tudorza
Q524995	dexrazoxane	Q47521473	Zinecard
Q524995	dexrazoxane	Q48828789	Totect
Q544393	Trovafloxacin	Q29006602	Trovan
Q544393	Trovafloxacin	Q29006608	Turvel
Q553220	ertapenem	Q29006014	Invanz
Q553223	esomeprazole	Q29006219	Nexium Control
Q553223	esomeprazole	Q47521569	Nexium
Q3492447	Velaglucerase alfa	Q29006672	Vpriv
Q3492616	Insulin Lispro	Q29005935	Humalog
Q3492616	Insulin Lispro	Q29006135	Liprolog
Q3492616	Insulin Lispro	Q47520884	Admelog
Q3493529	Spinosad	Q47521874	Natroba
Q3495231	treprostinil	Q47521944	Orenitram
Q3495231	treprostinil	Q47522245	Tyvaso
Q3530324	tofacitinib	Q47522319	Xeljanz
Q3563148	vortioxetine	Q29004924	Brintellix
Q3563148	vortioxetine	Q48828252	Trintellix
Q3611854	alitretinoin	Q29006309	Panretin
Q3638978	besifloxacin	Q47521253	Besivance
Q3645272	Stem bromelain	Q29006220	Nexobrid
Q3655009	Canakinumab	Q29005960	Ilaris
Q3655338	cangrelor	Q29006075	Kengrexal
Q3655338	cangrelor	Q47521740	Kengreal
Q3664175	cefditoren	Q47522145	Spectracef
Q3702534	mirabegron	Q29004895	Betmiga
Q3702534	mirabegron	Q47521862	Myrbetriq
Q3704725	Defibrotide	Q29005707	Defitelio
Q3706987	dichlorphenamide	Q47521436	Daranide
Q3706987	dichlorphenamide	Q48826331	Keveyis
Q3712521	dofetilide	Q29006570	Tikosyn
Q3723645	Elotuzumab	Q29005787	Empliciti
Q3728177	carbinoxamine	Q47521736	Karbinal
Q3728177	carbinoxamine	Q47522107	Ryvent
Q3733839	etonogestrel	Q1371645	etonogestrel birth control implant
Q3733839	etonogestrel	Q48826192	Implanon
Q863389	Budesonide/formoterol	Q29004904	Biresp Spiromax
Q863389	Budesonide/formoterol	Q29004932	Budesonide/formoterol Teva
Q863389	Budesonide/formoterol	Q29004933	Budesonide/formoterol Teva Pharma B.v.
Q863389	Budesonide/formoterol	Q29005748	Duoresp Spiromax
Q863389	Budesonide/formoterol	Q29006673	Vylaer Spiromax
Q863389	Budesonide/formoterol	Q48829118	Symbicort
Q867332	cyclopentolate	Q48825969	Cylate
Q867332	cyclopentolate	Q48826506	AK-Pentolate
Q867332	cyclopentolate	Q48828805	Cyclogyl
Q868658	perampanel	Q29005890	Fycompa
Q894611	bosutinib	Q29004916	Bosulif
Q898407	venlafaxine	Q47521530	Effexor
Q899036	Colesevelam	Q29004971	Cholestagel
Q899036	Colesevelam	Q47522313	Welchol
Q902379	icatibant	Q29005870	Firazyr
Q904011	desonide	Q47521463	Desonate
Q904011	desonide	Q47522230	Tridesilon
Q904011	desonide	Q47522286	Verdeso
Q904011	desonide	Q48826224	Desowen
Q904011	desonide	Q48828930	Lokara
Q904153	sevelamer	Q29006418	Renagel
Q904153	sevelamer	Q29006419	Renvela
Q905835	plerixafor	Q29006186	Mozobil
Q905901	vorinostat	Q47522355	Zolinza
Q906414	methsuximide	Q47521336	Celontin
Q906453	posaconazole	Q29006236	Noxafil
Q906453	posaconazole	Q29006348	Posaconazole Sp
Q907104	ranolazine	Q29006391	Ranexa
Q907219	tiagabine	Q47521642	Gabitril
Q907853	droxidopa	Q47521912	Northera
Q909745	linagliptin	Q29006588	Trajenta
Q3746835	flunisolide	Q47520982	Aerospan
Q3765251	darunavir	Q29005698	Darunavir Mylan
Q3765251	darunavir	Q29006367	Prezista
Q3791612	ibutilide	Q47521410	Corvert
Q3801359	ioflupane I-123	Q29005703	Datscan
Q3832559	linaclotide	Q29005662	Constella
Q3832559	linaclotide	Q47521771	Linzess
Q3836750	lopinavir/ritonavir	Q29006067	Kaletra
Q3836750	lopinavir/ritonavir	Q29006143	Lopinavir/ritonavir Mylan
Q3837481	Loteprednol etabonate	Q47521018	Alrex
Q3837481	Loteprednol etabonate	Q47521788	Lotemax
Q3843044	mafenide	Q47522160	Sulfamylon
Q3869873	Nafarelin	Q48826113	Synarel
Q3877030	nilutamide	Q47521895	Nilandron
Q3877355	nitisinone	Q29006291	Orfadin
Q3877355	nitisinone	Q47521903	Nityr
Q3891664	regorafenib	Q29006510	Stivarga
Q3896970	Pasireotide	Q29006478	Signifor
Q3927403	quazepam	Q47521497	Doral
Q3933703	Reteplase	Q29005763	Ecokinase
Q3933703	Reteplase	Q29006393	Rapilysin
Q3935297	rifapentine	Q47522022	Priftin
Q3960572	Siltuximab	Q29006520	Sylvant
Q577377	brimonidine	Q29006180	Mirvaso
Q577377	brimonidine	Q47521013	Alphagan
Q579348	alprostadil	Q47521325	Caverject
Q579348	alprostadil	Q47521528	Edex
Q579348	alprostadil	Q47521854	Muse
Q579348	alprostadil	Q47522042	Prostin VR
Q581334	Fluticasone/salmeterol	Q29004394	Aerivio Spiromax
Q581334	Fluticasone/salmeterol	Q29004398	Airexar Spiromax
Q592802	benazepril	Q47521245	Lotensin
Q596022	quinapril	Q47522058	Accupril
Q596708	granisetron	Q29006465	Sancuso
Q596708	granisetron	Q47522169	Sustol
Q600867	proparacaine	Q48825958	Alcaine
Q600867	proparacaine	Q48828111	Parcaine
Q607349	fluorometholone	Q47521614	Flarex
Q607349	fluorometholone	Q47521626	FML Forte Liquifilm
Q607349	fluorometholone	Q48825950	FML
Q607349	fluorometholone	Q48829040	Fluor-Op
Q617563	cysteamine	Q29005688	Cystagon
Q617563	cysteamine	Q29005735	Dropcys
Q617563	cysteamine	Q29006373	Procysbi
Q617563	cysteamine	Q47521430	Cystaran
Q621834	aprepitant	Q29005786	Emend
Q621834	aprepitant	Q48826405	Cinvanti
Q634959	latanoprost	Q47522316	Xalatan
Q635415	Ibritumomab	Q29006735	Zevalin
Q637059	pralatrexate	Q29005877	Folotyn
Q637247	formoterol	Q47521627	Foradil
Q637247	formoterol	Q47521981	Perforomist
Q637504	Arcitumomab	Q29004959	Cea-scan
Q662511	propafenone	Q47522037	Rythmol
Q668093	atorvastatin	Q47521207	Lipitor
Q670131	simvastatin	Q47521617	Flolipid
Q670131	simvastatin	Q47522351	Zocor
Q684379	nepafenac	Q29006216	Nevanac
Q684379	nepafenac	Q48828192	Ilevro
Q693482	roflumilast	Q29005695	Daliresp
Q693482	roflumilast	Q29005706	Daxas
Q693482	roflumilast	Q29006134	Libertek
Q928378	zafirlukast	Q47520848	Accolate
Q929420	trandolapril	Q47521806	Mavik
Q937224	dolutegravir	Q29006571	Tivicay
Q947266	irbesartan	Q29004834	Aprovel
Q947266	irbesartan	Q29006025	Irbesartan Bms
Q947266	irbesartan	Q29006029	Irbesartan Teva
Q947266	irbesartan	Q29006031	Irbesartan Zentiva
Q947266	irbesartan	Q29006071	Karvea
Q947266	irbesartan	Q29006463	Sabervel
Q947266	irbesartan	Q47521217	Avapro
Q958087	labetalol	Q47521750	Trandate
Q975059	ulipristal acetate	Q29005823	Esmya
Q1002165	fluticasone	Q47521190	Armonair
Q1002165	fluticasone	Q47521191	Arnuity
Q1002165	fluticasone	Q47521424	Cutivate
Q1002165	fluticasone	Q47521620	Flovent
Q1002165	fluticasone	Q47521624	Nasopro 24
Q1002165	fluticasone	Q47522283	Veramyst
Q1002165	fluticasone	Q47522323	Xhance
Q1002165	fluticasone	Q48826120	Fluticare
Q1002165	fluticasone	Q48826231	Clarispray
Q1002165	fluticasone	Q48826277	Flonase
Q1002165	fluticasone	Q48829182	Flonase Sensimist
Q1002165	fluticasone	Q48829186	Nasoflow
Q1002165	fluticasone	Q48829253	Aller-Flo
Q1046522	Abacavir/lamivudine/zidovudine	Q29006600	Trizivir
Q1063862	idarubicin	Q47521703	Idamycin
Q1074056	triamcinolone	Q47521009	AllerNaze
Q1074056	triamcinolone	Q47521189	Aristospan
Q1074056	triamcinolone	Q47521739	Kenalog
Q1074056	triamcinolone	Q47521869	Nasacort
Q1074056	triamcinolone	Q47521939	Oralone
Q1074056	triamcinolone	Q47521973	Pediaderm TA
Q1074056	triamcinolone	Q47522229	Trianex
Q1074056	triamcinolone	Q48826211	Dermasorb TA
Q1074056	triamcinolone	Q48828229	Triesence
Q1074056	triamcinolone	Q48828268	Triderm
Q1087888	azilsartan medoxomil	Q29005764	Edarbi
Q1087888	azilsartan medoxomil	Q29006024	Ipreziv
Q1124727	Conestat alfa	Q29006438	Rhucin
Q1124727	Conestat alfa	Q29006461	Ruconest
Q1135705	rifabutin	Q47521857	Mycobutin
Q1149099	methazolamide	Q47521887	Neptazane
Q256602	ciprofloxacin	Q47521343	Cetraxal
Q256602	ciprofloxacin	Q47521354	Ciloxan
Q256602	ciprofloxacin	Q47521355	Cipro
Q256602	ciprofloxacin	Q47522039	Proquin
Q256602	ciprofloxacin	Q59245594	ciprofloxacin otic
Q258450	penicillin G	Q47521265	Bicillin L-A
Q258450	penicillin G	Q47521985	Pfizerpen
Q258450	penicillin G	Q48826037	Permapen
Q263713	nevirapine	Q29006217	Nevirapine Teva
Q263713	nevirapine	Q29006656	Viramune
Q269111	apomorphine	Q47521177	Apokyn
Q273169	capsaicin	Q29006389	Qutenza
Q277785	perindopril	Q47520870	Aceon
Q279504	ropivacaine	Q47521868	Naropin
Q282902	naloxone	Q47521584	Evzio
Q282902	naloxone	Q47521866	Narcan
Q286846	pantoprazole	Q29005664	Controloc Control
Q286846	pantoprazole	Q29006311	Pantecta Control
Q286846	pantoprazole	Q29006312	Pantoloc Control
Q286846	pantoprazole	Q29006313	Pantozol Control
Q286846	pantoprazole	Q29006493	Somac Control
Q286846	pantoprazole	Q47521962	Protonix
Q287029	isotretinoin	Q47521039	Amnesteem
Q287029	isotretinoin	Q48826268	Claravis
Q287029	isotretinoin	Q48826346	Sotret
Q287029	isotretinoin	Q48826395	Myorisan
Q287029	isotretinoin	Q48828108	Zenatane
Q287029	isotretinoin	Q48828242	Absorica
Q287415	cholic acid	Q29006295	Orphacol
Q287415	cholic acid	Q47521352	Cholbam
Q292982	Serpin family A member 1	Q29006428	Respreeza
Q303646	hydromorphone	Q47521585	Exalgo
Q303646	hydromorphone	Q47521699	Dilaudid
Q304330	abacavir	Q29006736	Ziagen
Q319877	alprazolam	Q47521014	Xanax
Q327362	liothyronine	Q47521431	Cytomel
Q327362	liothyronine	Q47522234	Triostat
Q335099	edaravone	Q47522060	Radicava
Q337188	L-scopolamine	Q47522116	Transderm Scop
